L_ListingID,L_Address,L_City,beds,baths,price,remarks
1137644469,556 D Street,Upland,3.0,3.0,535000,"Stunning 3-Bedroom Condo in Upland Estates

Welcome to your dream home! Nestled in the highly sought-after community of Upland Estates, this beautifully renovated 3-bedroom, 2.5-bath condominium is a perfect blend of comfort and style. With its modern updates and spacious layout, this condo is designed for both relaxation and entertaining.



Key Features:

Spacious Living Areas

Step inside to discover a bright and airy living space adorned with rehabbed flooring that flows seamlessly throughout. The open-concept design allows for effortless entertaining, while large windows invite natural light to fill the room.



Functional Kitchen

The heart of the home is the well-appointed kitchen, featuring updated appliances, ample cabinetry, and sleek countertops. Whether you're whipping up a quick breakfast or hosting a dinner party, this kitchen is sure to meet your needs.



Luxurious Bedrooms

Retreat to the generously sized bedrooms, each offering a peaceful sanctuary for rest and relaxation. The master suite boasts an en-suite bathroom, providing a private space to unwind after a long day.



Outdoor Living

Enjoy the California sunshine on your large front patio and yard, perfect for outdoor gatherings or simply soaking in the serene surroundings. The attached 2-car garage adds convenience and extra storage space.



Community Amenities

As part of the Upland Estates community, you'll have access to fantastic amenities, including tennis courts, a swimming pool, and a jacuzzi. The affordable HOA fee of just $375 per month covers water, trash, and sewer, making it easy to enjoy a low-maintenance lifestyle.



Prime Location

Conveniently located near freeways, shopping centers, and schools, this condo offers the perfect balance of tranquility and accessibility. Whether you're commuting to work or enjoying a day out, everything you need is just moments away.



Do’t Miss Out!

This stunning condo is a rare find and is sure to go quickly. Schedule your private showing today and take the first step toward making this beautiful space your new home!"
1151453101,1266 Wesley Avenue,Pasadena,4.0,2.0,1545000,"Brigden Ranch Craftsman full of charm and warmth, ideally located on a serene, tree-lined street framed by the San Gabriel Mountains. This 4-bedroom, 2-bath home blends enduring character with thoughtful modern upgrades. An inviting covered front porch sets the tone, leading into a warm and welcoming living room featuring a classic brick fireplace, refinished oak hardwood floors, crown molding, and abundant natural light.  The floor plan flows seamlessly into a formal dining room with original built-ins and a remodeled gourmet kitchen showcasing white cabinetry, granite countertops, stainless-steel appliances, and a custom banquette. A private and extraordinary study off the living room, flooded with sunlight, creates the ideal home office.  The primary bedroom offers a walk-in closet and a beautifully updated bath with designer finishes. Three additional bright secondary bedrooms and a stylish guest bath with Carrera marble, an oversized jetted Whirlpool tub, modern shower complete the interior, and a whole-house fan provides efficient cooling for comfortable summer living throughout the home.  The rear covered patio features a built-in misting system that overlooks a lush, private, fenced backyard with citrus trees and mountain views, creating an ideal setting for both entertaining and relaxing. The property also offers abundant storage, a LifeSource water filtration system, and a flourishing vegetable garden. The rear garage provides approximately 450 sq. ft. of finished space with even more storage. Enjoy close proximity to Lavender & Honey, Millie's Cafe, Woon, Bacchus, Italian Deli Co., Bloomfield Creamery, Connal's, 786 Degrees Pizza, Deluxe 1717, and other local favorites, along with easy access to EF International Language Campus, Huntington Library, Old Town, South Lake Ave, Paseo, Rose Bowl, Hastings Ranch, and the 210/134 freeways. This special home is an eternal gem in a fantastic location, close to all that Pasadena has to offer."
1040333124,1181 Foxchase Drive,San Jose,2.0,1.0,669888,"Coming Soon! Welcome home to this wonderful and spacious end unit condo. Step inside and be captivated by the double-height ceilings, creating an expansive atmosphere perfect for your own private movie theater experience using a projector. Immerse yourself in the beauty of nature as you're surrounded by greenery. Unwind on the amazing balcony, where you can sip your coffee while admiring the lush trees and listening to the melodies of chirping birds. Ample storage options and big closets ensure your belongings stay organized. Enjoy the convenience of a reverse osmosis filtration system water filter and brand new energy star appliances, including a fridge, washer and dryer. With easy access to highways 85, 87, 17, and 101, as well as close proximity to grocery stores, eateries, and the vibrant Westfield Oakridge Mall, this condo provides the ultimate in convenience and lifestyle. Don't miss the opportunity to make this stunning condo your own!"
1145639230,27875 Goetz Road,Menifee,5.0,4.0,1159000,"Welcome to Your Dream Home in Menifee!



This stunning 1.5-acre Horse property has been meticulously upgraded and fully renovated throughout. Featuring an open-concept floor plan that fills the home with natural light, every detail has been thoughtfully curated to create an inviting and elegant living space.



• 5 Spacious Bedrooms & 4 fully renovated bathrooms

* Master Bedroom Suite with custom renovated bathroom and walk-in closet

• Expansive living room with updated electric fireplace

• Brand-New Chef’s kitchen with elegant quartz countertops, new appliances, and bar area.

• Indoor laundry room for convenience

* New Flooring throughout and New recessed lighting

* New Interior Paint, New Interior Doors, New Baseboards, New Light fixtures

• Newly designed deck/patio off the master suite and living area with direct access to the backyard



* Attached fully renovated ADU (Perfect for Multi-Generational Living or Income Opportunity):

• 2 bedrooms, 1 full bathroom

• Kitchen and Oversized Living room with fireplace

• Private entrance for added privacy



* Upgrades & Features:

• Extra-large 3-car garage with abundant storage

• New AC system, dual-pane windows, and sliding doors for energy efficiency

• New doors, fresh interior & exterior paint, and new flooring throughout

• Fully renovated bathrooms & kitchen

• New garage doors

• Fully fenced with a wrought-iron gate and new remote opener



? Outdoor Amenities:

• Beautifully landscaped 1.5-acre lot, new grass in front yard, and citrus trees.

* Oversized Concrete Driveway with space for 20+ cars

• RV parking with 220V hookups

*

• Spacious yard perfect for entertaining and creating memories



This is more than just a home—it’s a lifestyle. Whether you’re hosting family gatherings, enjoying peaceful evenings on the deck, or taking advantage of the private ADU, this property truly has it all.



Schedule a private viewing today and experience the home you’ve been waiting for!"
1149603657,12500 Lull Street,North Hollywood,3.0,2.0,849999,"Charming Corner Home with Endless Potential. This exceptional corner property sits on a spacious 6,500+ sq. ft. lot, offering tremendous opportunities for homeowners and investors alike. With over 21 windows throughout, the home is filled with an abundance of natural light, creating a warm and inviting atmosphere. Featuring 3 bedrooms and 2 bathrooms, the home includes a generous covered outdoor patio perfect for entertaining along with a two-car garage and a large storage shed. The expansive front and back yards provide plenty of room to add an ADU or to relax, garden, or expand. Located in a desirable area, this property offers unlimited potential. With the right vision, this hidden gem is ready to shine even brighter."
1145656323,17 N Venice Boulevard,Venice,4.0,4.0,3800000,"Modern Coastal Retreat in the Heart of Venice. Experience elevated coastal living in this stunning contemporary residence just moments from Venice Beach and Abbot Kinney. Built in 2005, this designer home blends sophisticated style with everyday comfort, offering tall ceilings, curated finishes, and an open layout ideal for entertaining. The spacious living room features dual seating areas, a sleek fireplace, and custom built-ins, flowing seamlessly into two dining areas and a gourmet kitchen with high-end appliances, dual ranges, an oversized island, and a dedicated coffee station. Four well-appointed bedrooms include a luxurious primary suite with a private balcony, spa-style bath with soaking tub, steam shower, and built-in workstation. The rooftop oasis is the showpiece of this modern retreat  showcasing ocean views, a private sauna, fire pit, and outdoor ice bath for the ultimate wellness experience. Additional amenities include lush landscaping, an outdoor shower, in-home laundry, and private parking."
1151496713,360 Cabrillo Road 101,Palm Springs,1.0,1.0,469000,"Welcome to Racquet Club Cottages West (Garden Villas), a rare William F. Cody-designed 1-bedroom, 1-bath modernist residence offering architectural pedigree, total privacy, and true Palm Springs resort living in coveted Uptown Palm Springs. Unit #101 is a standalone model with no shared walls and no adjacent patio, featuring a 200+ sq ft private jasmine-lined garden patio designed for seamless indoor and outdoor living. Fully designer remodeled in 2025, this glass-walled post and beam home features a custom walnut kitchen with full slab dolomite counters, Fisher and Paykel appliances, and bespoke craftsmanship that honors and elevates the original design. The south-facing orientation frames San Jacinto Mountain views and bathes the interior in golden winter light, while the terrazzo-clad wet room style bath delivers spa-level luxury with custom millwork and a refined vanity. A built-in walnut bar, wardrobe, and patio-accessed closet provide exceptional storage, ideal for full-time living or a polished desert escape. Designed by Cody and completed in 1960, this Class 1 Historic District is prized for architectural purity and lush grounds by Phil Shipley and Dudley Trudgett, with sculpted pathways, reflective water features, and towering palms creating a secluded resort atmosphere. Featured in leading midcentury architecture books and publications, including Wallpaper and Atomic Ranch, and showcased on Modernism Week tours, the gated community includes a 9-foot deep pool and luxury spa, restored to its original 1960s design in 2022. Additional highlights include fee land ownership (you own the land), Mills Act eligibility for potential tax advantages, and 14-day short-term rental eligibility. The HOA includes water, trash, roof and exterior maintenance, full-time gardener, pool and spa, complimentary laundry, and upkeep of the community's streams and gardens. Just minutes from the Uptown Design District with cafes, galleries, boutiques, and dining, this is more than a home. It is a collectible piece of Palm Springs modernism, beautifully restored for today. Buyer to verify HOA rules, Mills Act status, and rental requirements and restrictions. Please schedule a private showing today."
1140736169,2481 Cahuilla Hills Drive,Palm Springs,4.0,6.0,4950000,"Sometimes, when presenting a property to market, there are so many exceptional features that it's hard to know where to begin, and this renovation just completed in 2025 is a perfect example. In this case, every aspect of living and entertaining at home has been thoughtfully considered, with a design that not only embraces but becomes one with its natural surroundings. For starters, the site itself is breathtaking, a spectacular setting that elevates this L-shaped modern home above the desert floor, offering seemingly endless mountain views and dramatic city lights. The architecture is deeply connected to the landscape, seamlessly integrating with the rugged terrain that so profoundly inspired the principles of desert modernism. This is a home that doesn't just sit on the land, it belongs to it. Inside, the open floor plan is an architectural dream, featuring an ""invisible"" kitchen with a large island and a striking natural stone wall. The interiors create a tonal and textured atmosphere, seamlessly blending organic materials that bring warmth to the modern aesthetic. Every detail has been designed to honor the desert environment, from the earthy color palette to the strategic placement of glass that frames nature like artwork. A hidden butler's kitchen sits behind the great room, with a galley of counter space and storage leading to what may be the most incredible laundry/mudroom we've ever seen. The integration of style and function throughout the home is next-level. On the other side of the house, a long hallway connects three ensuite guest bedrooms, a spacious den/media room, a gym, an office, and a powder room. A spa-style bathroom, complete with a steam shower, serves both the gym and the pool. And at the very end of this wing? The crown jewel: the primary bedroom suite. Wrapped in glass with a see-through fireplace and perched dramatically on the edge of the mountain, this is unlike any bedroom experience in Palm Springs, one where you wake up immersed in the landscape itself. Brand-new Monumental doors and windows dissolve the boundary between indoors and out, leading to a sunken concrete seating area with a fire pit, a swimming pool with a raised infinity spa, and a built-in BBQ with a sink. The outdoor spaces feel like a natural extension of the home, reinforcing the seamless connection between architecture and environment. And did we mention the forever views? Owned solar and all-new systems provide a highly efficient approach to desert modernism. A two-car carport with electric charging stations further enhances the home's sustainability. Truly one of a kind, this dramatic hillside property is the ultimate expression of the Palm Springs experience where modern design and the raw beauty of the desert exist in perfect harmony."
1151222192,4149 Sedgwick Avenue,Riverside,3.0,1.0,495000,"Great home for a first-time home buyer looking for something not too big, cleaned remodel. inviting nice yard with views.Closed to University, Restaurants, stores and walking distance to many places like the park."
1150712459,3345 Wonder View Drive,Los Angeles,3.0,4.0,2495000,"An Unparalleled Hollywood Hills Retreat. Experience the rare opportunity to own a private compound on a 12,000+ sq ft street-to-street lot in Lake Hollywood. This reimagined 1930s Art Deco Modern estate blends timeless architecture with contemporary comfort. Beyond the grand entrance, a spiral staircase introduces a home framed by captivating views. The chef's kitchen is a showpiece with brand-new Thor appliances including a wine fridge, a custom microwave drawer, bespoke cabinetry, and ample prep space. The primary suite is a private sanctuary, with a coffee bar, patio for sunrise coffees or sunset toasts, sleek fireplace, spa-inspired bath with dual vanities, oversized shower, custom closet, and beauty station. An upstairs guest suite offers a spa bath with soaking tub, while a main-level bedroom completes the layout. Throughout the home, thoughtful details shinefrom the original fireplace with reading nook to discreet under-stair storage. Expansive dining, living, and family rooms flow seamlessly outdoors, embracing California living. The resort-style backyard is landscaped with drought-tolerant greenery, spa patio, and spacious entertaining areas. With room to garden, add a pool, or build an ADU or guest house, the property offers flexibility without compromise. Recent upgrades include new electrical, plumbing, dual HVAC, roof, and windows, plus in-unit laundry on the bedroom level. Perfectly located near premier dining, shopping, entertainment, and freeway access, this estate offers both privacy and proximity. Welcome to a lifestyle defined by elegance and distinction."
